2026-03-13 21:55:14 | ERROR    | physics_engine | Error loading model nn: Could not deserialize 'keras.metrics.mse' because it is not a KerasSaveable subclass
2026-03-13 21:55:14 | INFO     | physics_engine | ML models loaded from storage
2026-03-13 21:55:14 | INFO     | physics_engine | AdvancedFloodML v3.0.0 initialized
2026-03-13 21:55:14 | INFO     | EQUINOX | ML Engine initialized — 4 model(s) loaded.
2026-03-13 21:55:14 | INFO     | EQUINOX | Starting EQUINOX Flood Prediction System...
2026-03-13 21:55:14 | INFO     | EQUINOX | ML Engine: 4 model(s) active
2026-03-13 21:55:14 | INFO     | EQUINOX | API running at: http://localhost:5000
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /              → Root info
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/health    → Health check
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/villages  → All villages
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/predict   → Live ML prediction (lat/lng)
2026-03-13 21:55:14 | INFO     | EQUINOX |   POST /api/predict   → Direct feature prediction
2026-03-13 21:55:14 | INFO     | EQUINOX |   POST /api/predict/batch → Batch predictions
2026-03-13 21:55:14 | INFO     | EQUINOX |   POST /api/alerts    → Create alert
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/active_alerts → Live active alerts
2026-03-13 21:55:14 | INFO     | EQUINOX |   POST /api/reports   → Submit field report
2026-03-13 21:55:14 | INFO     | EQUINOX |   POST /api/reports/submit → Civilian incident report
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/sensors   → Live sensor readings
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/telemetry → System log stream
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/terrain   → ISRO DEM terrain metrics
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/sar       → Sentinel-1 SAR inundation
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/grid-data → Map overlay grid
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/scenarios/live   → Live scenario data
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/scenarios/punjab → Punjab historical data
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/system/status    → System metrics
2026-03-13 21:55:14 | INFO     | EQUINOX |   GET  /api/rainfall/<district> → District rainfall
2026-03-13 21:55:14 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.230.197.121:5000
2026-03-13 21:55:14 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-13 21:59:07 | INFO     | EQUINOX | [/api/predict GET] lat=26.9124, lng=75.7873
2026-03-13 21:59:07 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-13 21:59:08 | INFO     | real_data_integration | OpenWeather data fetched: 24.66°C
2026-03-13 21:59:08 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-13 21:59:09 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-13 21:59:09 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-13 21:59:09 | INFO     | real_data_integration | All data fetched successfully
2026-03-13 21:59:13 | WARNING  | physics_engine | Missing features (using defaults): ['rainfall_24h', 'wind_speed', 'pressure_hpa', 'curvature', 'ndvi', 'builtup_percentage', 'water_distance_m', 'soil_type_factor', 'drainage_density']
2026-03-13 21:59:13 | INFO     | werkzeug | 127.0.0.1 - - [13/Mar/2026 21:59:13] "GET /api/predict?lat=26.9124&lng=75.7873 HTTP/1.1" 200 -
2026-03-13 21:59:31 | INFO     | EQUINOX | [/api/predict GET] lat=26.9124, lng=75.7873
2026-03-13 21:59:31 | INFO     | real_data_integration | Fetching all data for (26.9124, 75.7873)
2026-03-13 21:59:32 | INFO     | real_data_integration | OpenWeather data fetched: 24.66°C
2026-03-13 21:59:32 | INFO     | real_data_integration | ISRO LULC data fetched: Forest/Vegetation
2026-03-13 21:59:33 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-13 21:59:33 | INFO     | real_data_integration | NASA_POWER data fetched: 1.0mm
2026-03-13 21:59:33 | INFO     | real_data_integration | All data fetched successfully
